trial_index,filename,predicted,response
0,synthetic_1.0.png,1.0,1
1,synthetic_5.5.png,5.5,5
2,synthetic_4.0.png,4.0,3
3,synthetic_1.0.png,1.0,1
4,synthetic_3.0.png,3.0,3
5,synthetic_3.5.png,3.5,4
6,synthetic_5.5.png,5.5,5
7,synthetic_2.5.png,2.5,2
8,synthetic_4.0.png,4.0,4
9,synthetic_1.0.png,1.0,1
10,synthetic_4.0.png,4.0,4
11,synthetic_4.5.png,4.5,5
12,synthetic_5.0.png,5.0,5
13,synthetic_2.5.png,2.5,1
14,synthetic_1.5.png,1.5,1
15,synthetic_2.5.png,2.5,2
16,synthetic_1.5.png,1.5,2
17,synthetic_5.0.png,5.0,4
18,synthetic_1.0.png,1.0,1
19,synthetic_4.0.png,4.0,5
20,synthetic_0.5.png,0.5,1
21,synthetic_4.0.png,4.0,5
22,synthetic_1.0.png,1.0,1
23,synthetic_1.0.png,1.0,1
24,synthetic_4.5.png,4.5,5
25,synthetic_2.0.png,2.0,2
26,synthetic_1.0.png,1.0,1
27,synthetic_2.5.png,2.5,1
28,synthetic_5.5.png,5.5,5
29,synthetic_2.0.png,2.0,2
30,synthetic_5.5.png,5.5,5
31,synthetic_1.0.png,1.0,1
32,synthetic_1.5.png,1.5,2
33,synthetic_4.5.png,4.5,5
34,synthetic_3.0.png,3.0,2
35,synthetic_2.0.png,2.0,2
36,synthetic_1.5.png,1.5,1
37,synthetic_3.5.png,3.5,3
38,synthetic_4.5.png,4.5,4
39,synthetic_4.0.png,4.0,3
40,synthetic_2.0.png,2.0,3
41,synthetic_1.5.png,1.5,2
42,synthetic_5.0.png,5.0,5
43,synthetic_3.0.png,3.0,4
44,synthetic_2.5.png,2.5,3
45,synthetic_2.0.png,2.0,3
46,synthetic_1.0.png,1.0,1
47,synthetic_4.0.png,4.0,5
48,synthetic_5.0.png,5.0,5
49,synthetic_0.5.png,0.5,1
50,synthetic_1.5.png,1.5,2
51,synthetic_5.0.png,5.0,5
52,synthetic_4.5.png,4.5,4
53,synthetic_0.5.png,0.5,1
54,synthetic_0.5.png,0.5,1
55,synthetic_0.5.png,0.5,1
56,synthetic_2.0.png,2.0,2
57,synthetic_1.5.png,1.5,2
58,synthetic_0.5.png,0.5,1
59,synthetic_0.5.png,0.5,1
60,synthetic_0.5.png,0.5,1
61,synthetic_3.0.png,3.0,3
62,synthetic_5.5.png,5.5,4
63,synthetic_1.0.png,1.0,2
64,synthetic_3.0.png,3.0,3
65,synthetic_4.5.png,4.5,3
66,synthetic_1.5.png,1.5,2
67,synthetic_4.5.png,4.5,5
68,synthetic_3.0.png,3.0,3
69,synthetic_5.0.png,5.0,4
70,synthetic_4.0.png,4.0,4
71,synthetic_5.5.png,5.5,4
72,synthetic_5.0.png,5.0,5
73,synthetic_5.0.png,5.0,5
74,synthetic_2.0.png,2.0,2
75,synthetic_3.5.png,3.5,3
76,synthetic_2.5.png,2.5,3
77,synthetic_4.5.png,4.5,4
78,synthetic_2.0.png,2.0,2
79,synthetic_4.0.png,4.0,3
80,synthetic_3.5.png,3.5,4
81,synthetic_3.5.png,3.5,4
82,synthetic_5.5.png,5.5,4
83,synthetic_1.5.png,1.5,1
84,synthetic_3.0.png,3.0,3
85,synthetic_2.0.png,2.0,2
86,synthetic_3.5.png,3.5,3
87,synthetic_5.5.png,5.5,4
88,synthetic_2.5.png,2.5,3
89,synthetic_5.5.png,5.5,5
90,synthetic_2.0.png,2.0,2
91,synthetic_5.5.png,5.5,4
92,synthetic_0.5.png,0.5,1
93,synthetic_3.5.png,3.5,3
94,synthetic_3.0.png,3.0,3
95,synthetic_3.5.png,3.5,3
96,synthetic_3.5.png,3.5,3
97,synthetic_4.0.png,4.0,3
98,synthetic_1.5.png,1.5,1
99,synthetic_3.5.png,3.5,3
100,synthetic_5.0.png,5.0,4
101,synthetic_4.5.png,4.5,5
102,synthetic_3.0.png,3.0,3
103,synthetic_0.5.png,0.5,1
104,synthetic_2.5.png,2.5,2
105,synthetic_3.0.png,3.0,3
106,synthetic_2.5.png,2.5,3
107,synthetic_4.5.png,4.5,4
108,synthetic_2.5.png,2.5,2
109,synthetic_5.0.png,5.0,4
